album_id,genre,remove,predicted_genre,prediction_certainty,correct_certainty
9042.jpg,country,,metal,0.38255647,0.113321185
91214.jpg,country,,country,0.20178995,0.20178995
9144.jpg,country,,electronic,0.19088143,0.071332954
9291.jpg,country,,country,0.18641932,0.18641932
9292.jpg,country,,metal,0.17167628,0.11487481
93830.jpg,country,,rock,0.23010269,0.05375786
94935.jpg,country,,country,0.1866824,0.1866824
94939.jpg,country,,rap,0.29845992,0.16102687
94941.jpg,country,,country,0.19131221,0.19131221
95824.jpg,country,,metal,0.3311701,0.11690453
519.jpg,electronic,,electronic,0.19740032,0.19740032
5207.jpg,electronic,,pop,0.23235565,0.05488527
53086.jpg,electronic,,indie,0.22488283,0.22438762
54294.jpg,electronic,,metal,0.25871357,0.09705506
56507.jpg,electronic,,country,0.22545478,0.15487519
57368.jpg,electronic,,electronic,0.2558881,0.2558881
57760.jpg,electronic,,electronic,0.26852003,0.26852003
57963.jpg,electronic,,folk,0.16056065,0.1205115
58394.jpg,electronic,,metal,0.25833294,0.12821613
5888.jpg,electronic,,pop,0.32756045,0.15034127
60164.jpg,electronic,,rock,0.31223524,0.09442824
61870.jpg,electronic,,country,0.3295615,0.14452156
62780.jpg,electronic,,electronic,0.17367226,0.17367226
64866.jpg,electronic,,electronic,0.1645345,0.1645345
64969.jpg,electronic,,electronic,0.19106242,0.19106242
6522.jpg,electronic,,indie,0.21411535,0.14724949
65956.jpg,electronic,,metal,0.2113917,0.14574808
6630.jpg,electronic,,metal,0.18340278,0.11444808
671.jpg,electronic,,indie,0.17571339,0.17501777
6776.jpg,electronic,,folk,0.20062713,0.160188
6861.jpg,electronic,,rock,0.16710822,0.15285699
6970.jpg,electronic,,electronic,0.19067834,0.19067834
7000.jpg,electronic,x,country,0.17374386,0.13080007
71149.jpg,electronic,,metal,0.16002835,0.1547965
7151.jpg,electronic,,rock,0.17607412,0.11649801
75413.jpg,electronic,,electronic,0.18813658,0.18813658
76342.jpg,electronic,,electronic,0.2507519,0.2507519
76700.jpg,electronic,m,folk,0.26197696,0.046645988
76928.jpg,electronic,,electronic,0.21786433,0.21786433
77921.jpg,electronic,,electronic,0.1698289,0.1698289
7921.jpg,electronic,,folk,0.22306566,0.10982801
7949.jpg,electronic,,country,0.28507206,0.093340695
8234.jpg,electronic,,electronic,0.26886773,0.26886773
8335.jpg,electronic,,electronic,0.17532377,0.17532377
84974.jpg,electronic,,metal,0.4612332,0.06559845
8594.jpg,electronic,,electronic,0.27208716,0.27208716
86785.jpg,electronic,,electronic,0.26912558,0.26912558
8928.jpg,electronic,,metal,0.30241653,0.12526733
9131.jpg,electronic,,rock,0.45832387,0.033928722
933.jpg,electronic,,country,0.2810553,0.055173237
9338.jpg,electronic,,pop,0.2386194,0.025483975
9341.jpg,electronic,,pop,0.33808604,0.19436228
9401.jpg,electronic,,rap,0.16402821,0.116721675
95639.jpg,electronic,,rock,0.23462658,0.03223774
9626.jpg,electronic,,electronic,0.96099436,0.96099436
973.jpg,electronic,,electronic,0.2649475,0.2649475
9822.jpg,electronic,,electronic,0.2236869,0.2236869
99150.jpg,electronic,,metal,0.6592503,0.029491117
99340.jpg,electronic,,folk,0.18684912,0.17559734
99510.jpg,electronic,,pop,0.29120117,0.12548198
5514.jpg,folk,,electronic,0.38801965,0.21417728
5591.jpg,folk,,folk,0.20910567,0.20910567
5606.jpg,folk,,pop,0.17450643,0.099088766
57851.jpg,folk,,electronic,0.26703835,0.15987368
58084.jpg,folk,,rock,0.3104176,0.19513737
58131.jpg,folk,,country,0.30208442,0.123499274
5875.jpg,folk,,country,0.16662385,0.14304136
6.jpg,folk,m,electronic,0.29325384,0.16048129
6018.jpg,folk,,country,0.20659898,0.16746764
6056.jpg,folk,,indie,0.17474982,0.14546812
6079.jpg,folk,,folk,0.50584275,0.50584275
61230.jpg,folk,,metal,0.22835341,0.11514735
61517.jpg,folk,,country,0.21068583,0.13178582
6270.jpg,folk,,electronic,0.16431059,0.14293206
6296.jpg,folk,,metal,0.34447825,0.10326197
63938.jpg,folk,,country,0.20168862,0.20040235
63943.jpg,folk,,rock,0.14640191,0.14492504
64934.jpg,folk,,metal,0.39486328,0.048962146
6541.jpg,folk,,folk,0.3259113,0.3259113
66969.jpg,folk,,pop,0.22622262,0.09938615
67397.jpg,folk,,rap,0.5608056,0.018685361
691.jpg,folk,,folk,0.37607193,0.37607193
6981.jpg,folk,,electronic,0.2972665,0.15425943
71008.jpg,folk,,electronic,0.16453828,0.15278225
7306.jpg,folk,,indie,0.20724486,0.18190533
7307.jpg,folk,,rap,0.2501935,0.057844978
7662.jpg,folk,,folk,0.18100984,0.18100984
7912.jpg,folk,,country,0.17175826,0.13270195
7995.jpg,folk,,rap,0.30938798,0.03752835
80230.jpg,folk,,folk,0.18061511,0.18061511
83992.jpg,folk,,metal,0.29442117,0.06222492
84835.jpg,folk,,electronic,0.25901014,0.16970572
8561.jpg,folk,,rock,0.17840108,0.15148924
85779.jpg,folk,,rock,0.16035117,0.14633122
87378.jpg,folk,,metal,0.23631448,0.1059112
87644.jpg,folk,,rock,0.17408833,0.1493599
8911.jpg,folk,m,electronic,0.20094754,0.15893045
89479.jpg,folk,,indie,0.17102335,0.1604689
9138.jpg,folk,,pop,0.18042755,0.1084777
917.jpg,folk,,indie,0.21776639,0.21216269
93711.jpg,folk,,rock,0.16732931,0.15993778
9420.jpg,folk,,electronic,0.27118805,0.159782
9434.jpg,folk,,indie,0.16362382,0.12494417
94564.jpg,folk,,metal,0.17426771,0.14453281
94884.jpg,folk,,folk,0.2194857,0.2194857
952.jpg,folk,,electronic,0.17766917,0.15122624
96963.jpg,folk,,country,0.29282984,0.11724149
9789.jpg,folk,,indie,0.17677769,0.15954821
99248.jpg,folk,,folk,0.26838425,0.26838425
99924.jpg,folk,,electronic,0.1617018,0.11870574
5123.jpg,indie,,metal,0.22582263,0.09425091
51277.jpg,indie,,pop,0.28141686,0.14014879
51664.jpg,indie,,pop,0.16376974,0.16292572
5204.jpg,indie,,folk,0.25666195,0.21925962
5362.jpg,indie,,metal,0.14967468,0.102232136
53706.jpg,indie,,rap,0.59821564,0.029552346
5415.jpg,indie,,rock,0.413114,0.22727302
5631.jpg,indie,,folk,0.2635457,0.20217364
5690.jpg,indie,,pop,0.21727008,0.21500707
58491.jpg,indie,,pop,0.20047487,0.16216187
59152.jpg,indie,,metal,0.30057952,0.070645235
5947.jpg,indie,,rap,0.26223207,0.13899773
5978.jpg,indie,,pop,0.1799461,0.17199495
59960.jpg,indie,,pop,0.18633945,0.18140289
59993.jpg,indie,,rock,0.20168224,0.17185104
619.jpg,indie,,country,0.22171278,0.085363984
6226.jpg,indie,,electronic,0.33605826,0.16602343
63495.jpg,indie,,metal,0.28582096,0.07850967
64914.jpg,indie,,indie,0.2090941,0.2090941
65251.jpg,indie,,indie,0.27831137,0.27831137
6550.jpg,indie,,electronic,0.23757672,0.12877156
6707.jpg,indie,,country,0.18981679,0.14088626
6928.jpg,indie,,folk,0.20548058,0.16007142
711.jpg,indie,,rap,0.8038863,0.004257965
71837.jpg,indie,,electronic,0.1666281,0.10759636
72222.jpg,indie,,indie,0.3748748,0.3748748
74549.jpg,indie,,electronic,0.20170532,0.14893182
7558.jpg,indie,,indie,0.19809414,0.19809414
75798.jpg,indie,,electronic,0.21449071,0.14249545
767.jpg,indie,,rock,0.15804897,0.14840229
79886.jpg,indie,,pop,0.16714397,0.15532711
8198.jpg,indie,x,electronic,0.24890459,0.17015627
8390.jpg,indie,,electronic,0.27545357,0.110400714
8423.jpg,indie,,electronic,0.16851081,0.14753382
845.jpg,indie,,electronic,0.1856124,0.15894093
8459.jpg,indie,,rock,0.1577641,0.12090719
849.jpg,indie,,pop,0.38661757,0.21980944
8610.jpg,indie,,folk,0.32357717,0.14555436
8812.jpg,indie,,folk,0.20561846,0.18707265
88507.jpg,indie,,electronic,0.14264357,0.12817799
8971.jpg,indie,,electronic,0.28316858,0.17744036
907.jpg,indie,,electronic,0.16928577,0.15251945
9150.jpg,indie,,pop,0.18663615,0.17962328
91904.jpg,indie,,indie,0.37255323,0.37255323
92704.jpg,indie,,metal,0.22604218,0.08970997
93043.jpg,indie,,electronic,0.24407555,0.18797626
93149.jpg,indie,,rap,0.33716336,0.09560332
9632.jpg,indie,,metal,0.27062225,0.052590758
985.jpg,indie,,electronic,0.2195215,0.15732783
99672.jpg,indie,,folk,0.53571457,0.10987552
5567.jpg,metal,,folk,0.2123136,0.068188466
56164.jpg,metal,,rap,0.25491107,0.12853205
56196.jpg,metal,,rock,0.15298943,0.13284428
5648.jpg,metal,,metal,0.3758133,0.3758133
5787.jpg,metal,,metal,0.21984963,0.21984963
5833.jpg,metal,,rock,0.38155743,0.099154055
5836.jpg,metal,,electronic,0.23977722,0.041004095
58533.jpg,metal,,folk,0.2604242,0.031907093
58619.jpg,metal,,metal,0.35560092,0.35560092
59792.jpg,metal,,pop,0.220821,0.05009891
59902.jpg,metal,,metal,0.19433506,0.19433506
62967.jpg,metal,,electronic,0.25820842,0.02475051
63211.jpg,metal,,electronic,0.2389629,0.05393707
6341.jpg,metal,,metal,0.1946156,0.1946156
6342.jpg,metal,,electronic,0.23628162,0.017385744
6391.jpg,metal,,rap,0.21057545,0.13989046
6392.jpg,metal,x,pop,0.28049108,0.024179192
64477.jpg,metal,,metal,0.31461686,0.31461686
6469.jpg,metal,,rap,0.22643131,0.055905096
65476.jpg,metal,,metal,0.17279136,0.17279136
6563.jpg,metal,,electronic,0.7405973,0.06299459
66731.jpg,metal,,country,0.19405791,0.13241039
67289.jpg,metal,,metal,0.43108395,0.43108395
6805.jpg,metal,,indie,0.1583006,0.06188782
7080.jpg,metal,,pop,0.15964778,0.10395009
7109.jpg,metal,,rap,0.3906454,0.3567019
7266.jpg,metal,,rock,0.15281276,0.11759045
7319.jpg,metal,,metal,0.5155631,0.5155631
7380.jpg,metal,,folk,0.1591627,0.12127731
7393.jpg,metal,,country,0.21253406,0.04177799
75845.jpg,metal,,folk,0.19531405,0.14206018
765.jpg,metal,m,electronic,0.17816165,0.12154784
77316.jpg,metal,,metal,0.5227668,0.5227668
7839.jpg,metal,,metal,0.20440082,0.20440082
7881.jpg,metal,,metal,0.3960043,0.3960043
8290.jpg,metal,,folk,0.16911271,0.06706055
8292.jpg,metal,,metal,0.41128772,0.41128772
83248.jpg,metal,,metal,0.34929165,0.34929165
8488.jpg,metal,,rock,0.1532451,0.12405231
8490.jpg,metal,,metal,0.20258412,0.20258412
85913.jpg,metal,,metal,0.5388104,0.5388104
860.jpg,metal,,metal,0.22989649,0.22989649
8604.jpg,metal,,electronic,0.27763504,0.09991034
86651.jpg,metal,,electronic,0.3043374,0.041140113
8769.jpg,metal,,metal,0.25456256,0.25456256
8846.jpg,metal,,metal,0.24658446,0.24658446
940.jpg,metal,,rock,0.4333223,0.27448347
9478.jpg,metal,,metal,0.534642,0.534642
9568.jpg,metal,,metal,0.6148212,0.6148212
9678.jpg,metal,,electronic,0.2998999,0.03698372
54336.jpg,pop,,electronic,0.18667628,0.13029982
55854.jpg,pop,,indie,0.15492383,0.15056548
56133.jpg,pop,,indie,0.179835,0.14571573
57182.jpg,pop,,rock,0.16457382,0.09054676
57374.jpg,pop,,electronic,0.5512894,0.095181145
5738.jpg,pop,,pop,0.26410976,0.26410976
58013.jpg,pop,,electronic,0.28233576,0.23583782
58110.jpg,pop,,pop,0.3800713,0.3800713
59605.jpg,pop,,country,0.16712573,0.12856276
61074.jpg,pop,,electronic,0.17396304,0.10772102
62583.jpg,pop,,pop,0.29358387,0.29358387
6266.jpg,pop,m,country,0.1772437,0.09522098
6284.jpg,pop,m,rap,0.18347526,0.13910633
6310.jpg,pop,,pop,0.19918032,0.19918032
6345.jpg,pop,,metal,0.24219094,0.11504894
6600.jpg,pop,,pop,0.2582369,0.2582369
6618.jpg,pop,,metal,0.49091557,0.03641333
66834.jpg,pop,,country,0.23907317,0.08168858
66954.jpg,pop,,electronic,0.23905157,0.14717792
673.jpg,pop,,electronic,0.20445187,0.10041452
71154.jpg,pop,,pop,0.17907766,0.17907766
71213.jpg,pop,,electronic,0.2403746,0.14668997
7168.jpg,pop,,rap,0.5172425,0.11172438
7346.jpg,pop,,metal,0.21524554,0.083242804
7351.jpg,pop,,electronic,0.26126114,0.09224903
7439.jpg,pop,,rap,0.3329577,0.17949839
74505.jpg,pop,,metal,0.18031365,0.08886306
7513.jpg,pop,,indie,0.16410449,0.12474894
75698.jpg,pop,,electronic,0.17734446,0.13526832
76372.jpg,pop,,pop,0.19393349,0.19393349
78968.jpg,pop,,indie,0.19229159,0.14803489
80201.jpg,pop,,metal,0.20432505,0.08831605
8175.jpg,pop,,rap,0.28186613,0.18816712
82649.jpg,pop,,rock,0.1747489,0.14279242
82705.jpg,pop,,indie,0.33591625,0.18706283
8358.jpg,pop,,country,0.19058096,0.13703552
8436.jpg,pop,,rap,0.49669287,0.2979711
87558.jpg,pop,,electronic,0.2809756,0.10228279
8910.jpg,pop,m,electronic,0.19517614,0.11835773
8935.jpg,pop,,rock,0.20367208,0.12562172
89482.jpg,pop,,electronic,0.21979311,0.12144958
8972.jpg,pop,,electronic,0.23352619,0.102288015
89899.jpg,pop,,pop,0.17578644,0.17578644
90788.jpg,pop,,metal,0.18740554,0.12410711
9272.jpg,pop,,metal,0.22445431,0.10483526
93509.jpg,pop,,metal,0.48364982,0.058705557
94467.jpg,pop,,electronic,0.18704261,0.15606308
948.jpg,pop,,rock,0.15851574,0.1128327
95792.jpg,pop,,electronic,0.24104697,0.101849385
9721.jpg,pop,,rock,0.2373233,0.16037264
50207.jpg,rap,,metal,0.2814424,0.080238886
50618.jpg,rap,,pop,0.18558536,0.15045644
50635.jpg,rap,,rap,0.24077438,0.24077438
50753.jpg,rap,,rock,0.19535461,0.08446584
54705.jpg,rap,,indie,0.22726482,0.08345116
54718.jpg,rap,,electronic,0.20416917,0.056831192
55998.jpg,rap,,country,0.22970282,0.15353462
56351.jpg,rap,,pop,0.29138604,0.08848944
56772.jpg,rap,,country,0.2102272,0.10528084
5748.jpg,rap,,pop,0.22473852,0.14150076
5813.jpg,rap,m,rock,0.14338014,0.10129461
5965.jpg,rap,,rap,0.38729241,0.38729241
59772.jpg,rap,,pop,0.3971661,0.27702746
5987.jpg,rap,,pop,0.25707218,0.06728042
61022.jpg,rap,,electronic,0.1692574,0.064540036
621.jpg,rap,,rock,0.29944798,0.059331294
62251.jpg,rap,,folk,0.7386422,0.003725808
65910.jpg,rap,,country,0.26332045,0.16946028
66437.jpg,rap,,rock,0.21510623,0.058671482
6848.jpg,rap,,folk,0.18034817,0.067919284
71875.jpg,rap,,pop,0.22697753,0.21820909
7230.jpg,rap,,pop,0.29383665,0.16438003
72398.jpg,rap,,rap,0.1893041,0.1893041
7249.jpg,rap,m,indie,0.21655896,0.08699026
7258.jpg,rap,,metal,0.5809184,0.135021
7262.jpg,rap,m,rap,0.26519102,0.26519102
7263.jpg,rap,,metal,0.6349243,0.1806972
74438.jpg,rap,,electronic,0.18454508,0.059749894
7473.jpg,rap,,indie,0.19419023,0.06277681
754.jpg,rap,,metal,0.3773057,0.28855544
7933.jpg,rap,,country,0.18622306,0.09433711
7934.jpg,rap,,country,0.18332772,0.12482887
7935.jpg,rap,,rap,0.397281,0.397281
79370.jpg,rap,,electronic,0.20557685,0.049984172
7943.jpg,rap,,electronic,0.29128543,0.056473974
80499.jpg,rap,,rock,0.17742944,0.0742956
8325.jpg,rap,,pop,0.2566643,0.21326295
8345.jpg,rap,,indie,0.19286475,0.048955936
844.jpg,rap,m,indie,0.2249522,0.025717232
86261.jpg,rap,,indie,0.17722845,0.08394479
87445.jpg,rap,,electronic,0.1756675,0.106207766
87891.jpg,rap,,pop,0.30193442,0.13330741
886.jpg,rap,,electronic,0.21174495,0.14584814
8885.jpg,rap,m,indie,0.20296456,0.050430108
90296.jpg,rap,,folk,0.16688994,0.08192022
908.jpg,rap,,electronic,0.21630156,0.11281314
92.jpg,rap,m,electronic,0.15536563,0.10760683
94115.jpg,rap,,country,0.18243825,0.14947198
97674.jpg,rap,,country,0.19566907,0.10931096
981.jpg,rap,m,folk,0.24168171,0.0887919
54767.jpg,rock,,metal,0.17626989,0.14245223
54947.jpg,rock,,metal,0.2590828,0.16294825
5596.jpg,rock,x,folk,0.2043968,0.18968041
5613.jpg,rock,,pop,0.20705874,0.09901298
5675.jpg,rock,,electronic,0.4062987,0.016310448
57558.jpg,rock,,rock,0.29104826,0.29104826
5856.jpg,rock,,rock,0.2062275,0.2062275
5990.jpg,rock,,electronic,0.2885646,0.04606763
60132.jpg,rock,,pop,0.20359312,0.12707384
605.jpg,rock,,rock,0.20164602,0.20164602
6099.jpg,rock,,indie,0.2204687,0.16724305
6169.jpg,rock,,country,0.19756147,0.09663437
61798.jpg,rock,,pop,0.20695263,0.13788502
6295.jpg,rock,,metal,0.23396178,0.13267654
6411.jpg,rock,,rap,0.6005659,0.039041016
6427.jpg,rock,,metal,0.1997503,0.16442947
64403.jpg,rock,,indie,0.17888719,0.1582947
6470.jpg,rock,,electronic,0.20239641,0.09327153
6481.jpg,rock,,rock,0.15757284,0.15757284
6498.jpg,rock,,metal,0.53278583,0.007452241
6603.jpg,rock,,folk,0.3831937,0.10734235
6620.jpg,rock,,indie,0.24838838,0.15739666
6671.jpg,rock,,electronic,0.17220284,0.14803846
66769.jpg,rock,,indie,0.21181232,0.18897057
675.jpg,rock,,folk,0.20595863,0.17447883
69139.jpg,rock,,electronic,0.1788334,0.16070573
69456.jpg,rock,x,electronic,0.15625264,0.14605363
69805.jpg,rock,,electronic,0.19452044,0.14577703
69807.jpg,rock,,metal,0.33776128,0.12827742
7100.jpg,rock,,rock,0.2572247,0.2572247
740.jpg,rock,,pop,0.30149713,0.06729919
75283.jpg,rock,,country,0.16893654,0.112339064
760.jpg,rock,,pop,0.19643788,0.11998159
7630.jpg,rock,,rap,0.32638898,0.059638895
76349.jpg,rock,,metal,0.23185347,0.12541743
76827.jpg,rock,,country,0.23069794,0.074907266
7708.jpg,rock,,electronic,0.3775054,0.11507123
7734.jpg,rock,,electronic,0.23811856,0.14894651
7771.jpg,rock,,country,0.18118253,0.091748446
79823.jpg,rock,,indie,0.16314031,0.11961772
8030.jpg,rock,,electronic,0.35596117,0.035520554
8177.jpg,rock,,folk,0.22706501,0.13024542
8179.jpg,rock,,pop,0.31471333,0.14977978
8180.jpg,rock,,rock,0.43461058,0.43461058
84702.jpg,rock,,rock,0.21078019,0.21078019
90442.jpg,rock,,electronic,0.30148786,0.046587233
91617.jpg,rock,,rock,0.1915747,0.1915747
9284.jpg,rock,,metal,0.36683744,0.13901089
978.jpg,rock,,indie,0.17457248,0.16921495
9917.jpg,rock,,pop,0.21075265,0.15882014
